compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
19min 11sec,6816 (0.027ms),1132508 (95%),1358645 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,2,1
18min 14sec,210197 (0.841ms),1354031 (114%),1612534 (68%),46 (1%),13141 (192%),0 (~0%),15,20,1,off,flatten,1,2
25min 54sec,5560 (0.022ms),1394317 (117%),1692804 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,1,8
08min 48sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
08min 06sec,24567 (0.098ms),565556 (47%),664388 (28%),46 (1%),5256 (76%),0 (~0%),12,8,15,off,flatten,1,1
60min 00sec,,,,,,,10,8,15,flatten,flatten,1,1
09min 06sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,15,off,flatten,1,1
07min 41sec,24567 (0.098ms),565103 (47%),664229 (28%),46 (1%),5256 (76%),0 (~0%),4,8,15,off,flatten,1,1
08min 27sec,5320 (0.021ms),565071 (47%),688794 (29%),60 (1%),5256 (76%),0 (~0%),5,8,15,off,flatten,1,1
08min 47sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
08min 48sec,5320 (0.021ms),565071 (47%),688794 (29%),60 (1%),5256 (76%),0 (~0%),5,8,15,off,flatten,1,1
09min 26sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,15,off,flatten,1,1
08min 37sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
11min 31sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
09min 10sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,12,off,flatten,1,1
18min 07sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,60,1
11min 39sec,13510 (0.054ms),708450 (59%),819001 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,2,1
21min 46sec,9637 (0.039ms),818388 (69%),927229 (39%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,4,1
11min 32sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,8,1
08min 30sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
25min 58sec,8556 (0.034ms),1395058 (118%),1692957 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,2,2
17min 40sec,210197 (0.841ms),1354031 (114%),1612534 (68%),46 (1%),13141 (192%),0 (~0%),15,20,1,off,flatten,4,2
11min 30sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,60,1
25min 22sec,5560 (0.022ms),1394317 (117%),1692804 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,1,80
08min 51sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
18min 28sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,60,1
19min 47sec,3217 (0.013ms),1123902 (95%),1299291 (54%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,1,8
12min 00sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,8
04min 46sec,343347 (1.467ms),37633 (3%),19256 (~0%),226 (5%),48 (~0%),0 (~0%),10,8,15,off,off,1,1
08min 30sec,5320 (0.021ms),565071 (47%),688794 (29%),60 (1%),5256 (76%),0 (~0%),5,8,15,off,flatten,1,1
09min 15sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,15,off,flatten,1,1
09min 17sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,10,off,flatten,1,1
09min 15sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,6,off,flatten,1,1
09min 17sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,5,off,flatten,1,1
06min 54sec,11082 (0.044ms),372590 (31%),420766 (17%),38 (~0%),3285 (48%),0 (~0%),10,5,15,off,flatten,1,1
09min 08sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
12min 01sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
26min 20sec,8556 (0.034ms),1394656 (117%),1692884 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,2,1
29min 04sec,5560 (0.022ms),1394317 (117%),1692804 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,4,1
11min 24sec,7000 (0.028ms),704949 (59%),855139 (36%),38 (~0%),6570 (96%),0 (~0%),15,10,1,off,flatten,4,1
11min 23sec,7000 (0.028ms),704949 (59%),855139 (36%),38 (~0%),6570 (96%),0 (~0%),15,10,1,off,flatten,8,1
09min 43sec,698356 (2.793ms),704612 (59%),818669 (34%),16 (~0%),6571 (96%),0 (~0%),10,10,15,off,flatten,8,2
11min 37sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,8,8
09min 09sec,352756 (1.411ms),704608 (59%),819265 (34%),16 (~0%),6571 (96%),0 (~0%),10,10,15,off,flatten,8,4
08min 24sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
09min 09sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
09min 05sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
07min 21sec,11082 (0.044ms),372590 (31%),420766 (17%),38 (~0%),3285 (48%),0 (~0%),10,5,15,off,flatten,1,1
09min 55sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,4,off,flatten,1,1
09min 47sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,3,off,flatten,1,1
09min 58sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,2,off,flatten,1,1
26min 57sec,5560 (0.022ms),1394317 (117%),1692804 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,8,1
09min 19sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,20,off,flatten,1,1
09min 16sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,30,off,flatten,1,1
09min 22sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,60,off,flatten,1,1
17min 45sec,210197 (0.841ms),1354031 (114%),1612534 (68%),46 (1%),13141 (192%),0 (~0%),15,20,1,off,flatten,8,2
17min 49sec,210197 (0.841ms),1354031 (114%),1612534 (68%),46 (1%),13141 (192%),0 (~0%),15,20,1,off,flatten,60,2
17min 45sec,210197 (0.841ms),1354031 (114%),1612534 (68%),46 (1%),13141 (192%),0 (~0%),15,20,1,off,flatten,4,2
18min 22sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,4,1
08min 54sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
11min 56sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
26min 07sec,5560 (0.022ms),1394317 (117%),1692804 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,60,1
18min 18sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,1,8
09min 07sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
09min 45sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,60,off,flatten,1,1
09min 39sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,30,off,flatten,1,1
09min 47sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,20,off,flatten,1,1
08min 50sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
08min 41sec,5320 (0.021ms),565309 (47%),688772 (29%),60 (1%),5256 (76%),0 (~0%),3,8,15,off,flatten,1,1
10min 19sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,15,off,flatten,1,1
08min 34sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
09min 28sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,10,off,flatten,1,1
09min 27sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,12,off,flatten,1,1
08min 40sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
25min 57sec,8556 (0.034ms),1395058 (118%),1692957 (71%),46 (1%),13140 (192%),0 (~0%),15,20,1,off,flatten,2,2
17min 52sec,210197 (0.841ms),1354031 (114%),1612534 (68%),46 (1%),13141 (192%),0 (~0%),15,20,1,off,flatten,4,2
17min 49sec,210197 (0.841ms),1354031 (114%),1612534 (68%),46 (1%),13141 (192%),0 (~0%),15,20,1,off,flatten,8,2
09min 15sec,352756 (1.411ms),704608 (59%),819265 (34%),16 (~0%),6571 (96%),0 (~0%),10,10,15,off,flatten,1,4
11min 35sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,80
08min 25sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
11min 30sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
55min 32sec,5367 (0.021ms),1306708 (110%),1469105 (62%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,4,1
21min 30sec,3217 (0.013ms),1123902 (95%),1299291 (54%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,8,1
23min 30sec,55230 (0.221ms),1184085 (100%),1325649 (56%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,2,4
18min 23sec,6816 (0.027ms),1132508 (95%),1358645 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,2,8
18min 08sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,8,1
23min 21sec,55230 (0.221ms),1184160 (100%),1324693 (56%),60 (1%),10512 (153%),0 (~0%),15,16,1,off,flatten,2,2
06min 44sec,11082 (0.044ms),372590 (31%),420766 (17%),38 (~0%),3285 (48%),0 (~0%),10,5,15,off,flatten,1,1
09min 10sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,4,off,flatten,1,1
09min 29sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,15,off,flatten,1,1
08min 30sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
09min 30sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,5,off,flatten,1,1
07min 02sec,11082 (0.044ms),372590 (31%),420766 (17%),38 (~0%),3285 (48%),0 (~0%),10,5,15,off,flatten,1,1
09min 26sec,5320 (0.021ms),565309 (47%),688772 (29%),60 (1%),5256 (76%),0 (~0%),3,8,15,off,flatten,1,1
12min 36sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
25min 14sec,3217 (0.013ms),1123902 (95%),1299291 (54%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,8,1
10min 16sec,352756 (1.411ms),704608 (59%),819265 (34%),16 (~0%),6571 (96%),0 (~0%),10,10,15,off,flatten,8,4
12min 37sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,8,8
21min 48sec,139049 (0.556ms),1246405 (105%),1394104 (58%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,1,4
04min 57sec,1557747 (6.231ms),7549 (~0%),5870 (~0%),70 (1%),11 (~0%),2 (~0%),10,1,1,off,off,1,1
05min 37sec,313647 (1.34ms),53628 (4%),33237 (1%),46 (1%),56 (~0%),0 (~0%),1,1,20,off,off,1,1
05min 38sec,337647 (1.443ms),42082 (3%),23675 (1%),174 (4%),48 (~0%),0 (~0%),1,1,15,off,off,1,1
05min 10sec,366447 (1.566ms),23220 (1%),12833 (~0%),254 (5%),28 (~0%),0 (~0%),1,1,10,off,off,1,1
04min 57sec,1547247 (6.189ms),7482 (~0%),6153 (~0%),94 (2%),11 (~0%),0 (~0%),1,8,1,off,off,1,1
05min 01sec,1548149 (6.193ms),12381 (1%),7331 (~0%),94 (2%),11 (~0%),0 (~0%),1,4,1,off,off,1,1
05min 00sec,1552947 (6.212ms),7506 (~0%),5860 (~0%),70 (1%),11 (~0%),2 (~0%),6,1,1,off,off,1,1
04min 31sec,324147 (1.385ms),47919 (4%),27788 (1%),118 (2%),56 (~0%),0 (~0%),10,1,20,off,off,1,1
04min 10sec,321156 (1.372ms),46637 (3%),29600 (1%),100 (2%),56 (~0%),0 (~0%),15,1,20,off,off,1,1
04min 35sec,342447 (1.463ms),42384 (3%),23719 (1%),174 (4%),48 (~0%),0 (~0%),20,1,15,off,off,1,1
04min 33sec,313647 (1.34ms),53814 (4%),33314 (1%),46 (1%),56 (~0%),0 (~0%),1,16,20,off,off,1,1
03min 56sec,326548 (1.396ms),25508 (2%),18531 (~0%),56 (1%),48 (~0%),0 (~0%),1,10,15,off,off,1,1
60min 00sec,,,,,,,1,1,15,flatten,off,1,1
07min 16sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,15,off,flatten,1,1
08min 23sec,7717 (0.031ms),203707 (17%),155935 (6%),38 (~0%),657 (9%),0 (~0%),10,1,15,off,flatten,1,1
07min 25sec,28767 (0.115ms),197259 (16%),160070 (6%),46 (1%),657 (9%),0 (~0%),20,1,15,off,flatten,1,1
08min 11sec,26069 (0.104ms),366290 (30%),377503 (15%),46 (1%),2628 (38%),0 (~0%),1,4,15,off,flatten,1,1
07min 50sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),1,8,15,off,flatten,1,1
09min 31sec,27747 (0.111ms),701130 (59%),822972 (34%),24 (~0%),6570 (96%),0 (~0%),1,10,15,off,flatten,1,1
07min 24sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,10,off,flatten,1,1
07min 17sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,12,off,flatten,1,1
08min 21sec,7717 (0.031ms),203766 (17%),155944 (6%),38 (~0%),657 (9%),0 (~0%),30,1,15,off,flatten,1,1
09min 14sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,15,off,flatten,1,1
08min 35sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,15,off,flatten,1,1
11min 05sec,7000 (0.028ms),704949 (59%),855139 (36%),38 (~0%),6570 (96%),0 (~0%),15,10,15,off,flatten,1,1
06min 45sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,30,off,flatten,1,1
06min 44sec,9520 (0.038ms),183671 (15%),157574 (6%),60 (1%),657 (9%),0 (~0%),15,1,20,off,flatten,1,1
07min 27sec,24567 (0.098ms),565440 (47%),664381 (28%),46 (1%),5256 (76%),0 (~0%),20,8,15,off,flatten,1,1
08min 58sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,15,off,flatten,1,1
19min 00sec,3217 (0.013ms),1123902 (95%),1299291 (54%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,1,1
30min 20sec,3757 (0.015ms),1378499 (116%),1618169 (68%),24 (~0%),13140 (192%),0 (~0%),10,20,15,off,flatten,1,1
18min 00sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,15,off,flatten,1,1
08min 18sec,5320 (0.021ms),565092 (47%),688789 (29%),60 (1%),5256 (76%),0 (~0%),15,8,20,off,flatten,1,1
60min 00sec,,,,,,,15,8,15,flatten,flatten,1,1
11min 07sec,5797 (0.023ms),708069 (59%),818907 (34%),16 (~0%),6570 (96%),0 (~0%),30,10,15,off,flatten,1,1
23min 36sec,3217 (0.013ms),1123961 (95%),1299294 (54%),38 (~0%),10512 (153%),0 (~0%),30,16,15,off,flatten,1,1
26min 45sec,3757 (0.015ms),1378558 (116%),1618172 (68%),24 (~0%),13140 (192%),0 (~0%),30,20,15,off,flatten,1,1
08min 56sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,10,off,flatten,1,1
09min 30sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,20,off,flatten,1,1
07min 56sec,24567 (0.098ms),565103 (47%),664229 (28%),46 (1%),5256 (76%),0 (~0%),4,8,15,off,flatten,1,1
07min 26sec,24567 (0.098ms),565103 (47%),664229 (28%),46 (1%),5256 (76%),0 (~0%),4,8,15,off,flatten,1,1
08min 39sec,5320 (0.021ms),565309 (47%),688772 (29%),60 (1%),5256 (76%),0 (~0%),3,8,15,off,flatten,1,1
09min 07sec,3517 (0.014ms),572155 (48%),660233 (27%),38 (~0%),5256 (76%),0 (~0%),6,8,15,off,flatten,1,1
11min 37sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
09min 39sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,4,off,flatten,1,1
09min 04sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,5,off,flatten,1,1
09min 14sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,6,off,flatten,1,1
07min 37sec,24567 (0.098ms),565048 (47%),664301 (28%),46 (1%),5256 (76%),0 (~0%),60,8,15,off,flatten,1,1
11min 40sec,5797 (0.023ms),708011 (59%),818904 (34%),16 (~0%),6570 (96%),0 (~0%),10,10,15,off,flatten,1,1
09min 28sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,20,off,flatten,1,1
28min 05sec,3757 (0.015ms),1378558 (116%),1618172 (68%),24 (~0%),13140 (192%),0 (~0%),30,20,15,off,flatten,2,1
27min 49sec,3757 (0.015ms),1378558 (116%),1618172 (68%),24 (~0%),13140 (192%),0 (~0%),30,20,15,off,flatten,4,1
27min 35sec,3757 (0.015ms),1378558 (116%),1618172 (68%),24 (~0%),13140 (192%),0 (~0%),30,20,15,off,flatten,8,1
07min 34sec,24567 (0.098ms),565556 (47%),664388 (28%),46 (1%),5256 (76%),0 (~0%),12,8,15,off,flatten,1,1
07min 38sec,24567 (0.098ms),565556 (47%),664388 (28%),46 (1%),5256 (76%),0 (~0%),12,8,15,off,flatten,1,1
11min 15sec,5797 (0.023ms),708069 (59%),818907 (34%),16 (~0%),6570 (96%),0 (~0%),30,10,15,off,flatten,1,1
09min 09sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,30,off,flatten,1,1
09min 08sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,30,off,flatten,1,1
18min 11sec,5020 (0.02ms),1132168 (95%),1358566 (57%),60 (1%),10512 (153%),0 (~0%),15,16,15,off,flatten,4,1
20min 21sec,139049 (0.556ms),1246405 (105%),1394104 (58%),38 (~0%),10512 (153%),0 (~0%),10,16,15,off,flatten,1,4
10min 18sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,15,off,flatten,1,1
10min 43sec,3518 (0.014ms),605198 (51%),668595 (28%),46 (1%),5256 (76%),0 (~0%),2,8,15,off,flatten,1,1
06min 38sec,11082 (0.044ms),372648 (31%),420769 (17%),38 (~0%),3285 (48%),0 (~0%),30,5,15,off,flatten,1,1
08min 17sec,4718 (0.019ms),373166 (31%),373438 (15%),38 (~0%),2628 (38%),0 (~0%),10,4,15,off,flatten,1,1
06min 48sec,11082 (0.044ms),372590 (31%),420766 (17%),38 (~0%),3285 (48%),0 (~0%),10,5,15,off,flatten,1,1
09min 11sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,2,off,flatten,1,1
09min 07sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,6,off,flatten,1,1
18min 56sec,208516 (0.834ms),1375105 (116%),1618530 (68%),24 (~0%),13141 (192%),0 (~0%),10,20,15,off,flatten,1,2
60min 00sec,,,,,,,10,80,15,off,flatten,1,1
09min 19sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,12,off,flatten,1,1
11min 27sec,5797 (0.023ms),708069 (59%),818907 (34%),16 (~0%),6570 (96%),0 (~0%),30,10,15,off,flatten,2,1
11min 18sec,5797 (0.023ms),708069 (59%),818907 (34%),16 (~0%),6570 (96%),0 (~0%),30,10,15,off,flatten,4,1
11min 33sec,5797 (0.023ms),708069 (59%),818907 (34%),16 (~0%),6570 (96%),0 (~0%),30,10,15,off,flatten,8,1
20min 38sec,205709 (0.823ms),1246603 (105%),1393784 (58%),38 (~0%),10512 (153%),0 (~0%),30,16,15,off,flatten,1,2
20min 12sec,139050 (0.556ms),1246460 (105%),1394116 (58%),38 (~0%),10512 (153%),0 (~0%),30,16,15,off,flatten,1,4
07min 55sec,7719 (0.031ms),264829 (22%),231720 (9%),38 (~0%),1314 (19%),0 (~0%),30,2,15,off,flatten,1,1
08min 30sec,4718 (0.019ms),373179 (31%),373442 (15%),38 (~0%),2628 (38%),0 (~0%),30,4,15,off,flatten,1,1
09min 38sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,3,off,flatten,1,1
09min 21sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,4,off,flatten,1,1
11min 11sec,12396 (0.05ms),705288 (59%),855220 (36%),38 (~0%),6570 (96%),0 (~0%),15,10,15,off,flatten,2,1
19min 37sec,209313 (0.837ms),1227224 (103%),1388324 (58%),60 (1%),10512 (153%),0 (~0%),15,16,15,off,flatten,1,2
19min 22sec,142654 (0.571ms),1227081 (103%),1388900 (58%),60 (1%),10512 (153%),0 (~0%),15,16,15,off,flatten,1,4
07min 39sec,7719 (0.031ms),264771 (22%),231717 (9%),38 (~0%),1314 (19%),0 (~0%),10,2,15,off,flatten,1,1
09min 15sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,10,off,flatten,1,1
09min 16sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,12,off,flatten,1,1
09min 17sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,5,off,flatten,1,1
04min 20sec,338547 (1.447ms),37722 (3%),19405 (~0%),226 (5%),48 (~0%),0 (~0%),30,8,15,off,off,1,1
10min 54sec,7000 (0.028ms),704949 (59%),855139 (36%),38 (~0%),6570 (96%),0 (~0%),15,10,15,off,flatten,60,1
27min 22sec,3757 (0.015ms),1378558 (116%),1618172 (68%),24 (~0%),13140 (192%),0 (~0%),30,20,15,off,flatten,60,1
27min 20sec,3757 (0.015ms),1378558 (116%),1618172 (68%),24 (~0%),13140 (192%),0 (~0%),30,20,15,off,flatten,1,8
09min 28sec,3517 (0.014ms),571930 (48%),660234 (27%),38 (~0%),5256 (76%),0 (~0%),10,8,60,off,flatten,1,1
09min 38sec,3517 (0.014ms),571988 (48%),660237 (27%),38 (~0%),5256 (76%),0 (~0%),30,8,60,off,flatten,1,1
60min 00sec,,,,,,,10,20,15,off,flatten,4,1
29min 05sec,3757 (0.015ms),1378499 (116%),1618169 (68%),24 (~0%),13140 (192%),0 (~0%),10,20,15,off,flatten,8,1
11min 04sec,7000 (0.028ms),704949 (59%),855139 (36%),38 (~0%),6570 (96%),0 (~0%),15,10,15,off,flatten,1,8
11min 40sec,5797 (0.023ms),708069 (59%),818907 (34%),16 (~0%),6570 (96%),0 (~0%),30,10,15,off,flatten,1,8
09min 39sec,698356 (2.793ms),704677 (59%),818679 (34%),16 (~0%),6571 (96%),0 (~0%),30,10,15,off,flatten,1,2
03min 04sec,1547247 (6.189ms),7533 (~0%),6202 (~0%),94 (2%),11 (~0%),0 (~0%),1,1,1,off,off,1,1
04min 06sec,1554749 (6.219ms),8187 (~0%),7454 (~0%),92 (2%),11 (~0%),1 (~0%),15,1,1,off,off,1,1
03min 01sec,1547247 (6.189ms),8004 (~0%),6288 (~0%),94 (2%),11 (~0%),0 (~0%),1,16,1,off,off,1,1
04min 30sec,313647 (1.34ms),53628 (4%),33237 (1%),46 (1%),56 (~0%),0 (~0%),1,1,20,off,off,1,1
08min 08sec,28767 (0.115ms),196867 (16%),159990 (6%),46 (1%),657 (9%),0 (~0%),1,1,1,off,flatten,1,1
04min 23sec,1547247 (6.189ms),7843 (~0%),6234 (~0%),94 (2%),11 (~0%),0 (~0%),12,1,1,off,off,1,1
04min 19sec,1555348 (6.221ms),6825 (~0%),4707 (~0%),40 (~0%),11 (~0%),2 (~0%),1,10,1,off,off,1,1
05min 49sec,337647 (1.443ms),42082 (3%),23675 (1%),174 (4%),48 (~0%),0 (~0%),1,1,15,off,off,1,1
03min 29sec,1552947 (6.212ms),7496 (~0%),5856 (~0%),70 (1%),11 (~0%),2 (~0%),30,1,1,off,off,1,1
03min 54sec,1547247 (6.189ms),7482 (~0%),6153 (~0%),94 (2%),11 (~0%),0 (~0%),1,8,1,off,off,1,1
05min 20sec,337647 (1.351ms),22777 (1%),14567 (~0%),270 (6%),39 (~0%),0 (~0%),1,1,12,off,off,1,1
